region,다세대,단독/다가구,빌라,상가주택,아파트,아파트분양권,연립,오피스텔,원룸,재건축
금호1가동,0,3,12,0,23,0,0,0,0,0
금호2가동,0,3,5,2,38,0,0,5,4,0
금호3가동,0,3,1,9,36,0,0,0,2,0
금호4가동,3,19,4,1,15,0,0,0,3,0
기타지역(1120012200),0,43,28,2,0,35,0,68,10,0
마장동,0,24,1,4,0,0,0,0,9,0
사근동,0,20,4,4,4,0,0,27,22,0
성수1가제1동,0,5,6,3,90,0,2,1,4,1
성수1가제2동,1,78,18,22,216,0,0,46,46,0
성수2가제1동,1,49,8,12,17,0,0,77,21,4
옥수동,1,17,0,7,26,0,0,0,6,0
왕십리도선동,0,0,0,0,14,0,0,3,0,0
왕십리제2동,0,55,16,10,65,0,0,8,4,0
용답동,0,54,3,4,3,0,0,0,11,0
응봉동,1,59,6,1,74,169,0,8,191,0
행당제1동,2,87,11,5,15,0,0,2,176,2
행당제2동,2,25,6,0,1,0,0,0,52,0
